Occurred,City,State,Country,Shape,Summary,lat,lng
03/03/2024 15:36,Waynesburg,PA,USA,Orb,I saw several white volleyball sized and shaped white orbs in the sky rotating all around each other with no obvious pattern,40.1567616,-76.2021742
02/16/2024 21:15,Pittsburgh,PA,USA,Light,8 Lights Moving in counter clockwise pattern with other lights making passes through and below the formation,40.1567616,-76.2021742
02/14/2024 19:30,Monroeville,PA,USA,Orb,Observed a bright large spherical object tracked and merged with a smaller sphere,40.1567616,-76.2021742
02/14/2024 19:24,Pittsburgh,PA,USA,Orb,object with a halo around it and another object following it,40.1567616,-76.2021742
02/07/2024 04:10,Harrisburg,PA,USA,Triangle,Far up in sky,40.1567616,-76.2021742
01/20/2024 03:18,Essington,PA,USA,Circle,"Looked up at the stars. Saw a very fast round orange orb. Took about 3 to 5 seconds , From north to south across the whole skyline.",40.1567616,-76.2021742
01/14/2024 16:58,Chalfont,PA,USA,Circle,It was a circular white reflection WNW of my location.,40.1567616,-76.2021742
01/14/2024 16:42,Easton,PA,USA,Chevron,Was out getting some air and for a walk and spotted this on my way out while staring at the sign for vitamin D and noticed it.,40.1567616,-76.2021742
01/07/2024 16:23,Wilkes-Barre,PA,USA,Cylinder,2 hovering objects,40.1567616,-76.2021742
01/05/2024 21:45,Philadelphia,PA,USA,Circle,"Large, linear flying object traveling at low level that disappeared suddenly",40.1567616,-76.2021742
01/05/2024 19:06,South Canaan Township,PA,USA,Circle,we never seen so many colors in a plane or any thing like this . we have a video on phone shows it really good what we seen if blown up,40.1567616,-76.2021742
01/02/2024 16:42,Richlandtown,PA,USA,Cigar,"Observed a dull, reddish brown colored cigar-shaped object approach from Southwest of Richlandtown, PA and move Northeast",40.1567616,-76.2021742
12/31/2023 23:45,Allentown,PA,USA,Disk,Orange light in the sky moving quickly from northwest to Southeast direction,40.1567616,-76.2021742
12/20/2023 17:23,Liberty Township,PA,USA,Oval,"It was chrome oval shaped like an egg, hovering over the farm land then instantly gone",40.1567616,-76.2021742
12/16/2023 15:30,Reading,PA,USA,Disk,Definitely caught my attention never seen something like that and flying in that matter plus as metallic glowing some think I’m crazy.,40.1567616,-76.2021742
12/16/2023 02:10,Tunkhannock,PA,USA,Flash,I saw a bright blue flash in the Eastern sky. 2 other people saw it as well.,40.1567616,-76.2021742
12/14/2023 18:00,Harleysville,PA,USA,Sphere,Spherical object moving with bright flashing lights,40.1567616,-76.2021742
12/12/2023 05:30,TATAMY Borough,PA,USA,Circle,Flash then light,40.1567616,-76.2021742
12/10/2023 03:07,Bath,PA,USA,Fireball,Hovering light orb that repeatedly grew into huge extremely bright fireball/vortex circle and back to orb.,40.1567616,-76.2021742
12/08/2023 20:00,Pittsburgh,PA,USA,Chevron,"My husband and I saw and took a video of a very large, chevron shaped craft with a straight row of lights across the back center.",40.1567616,-76.2021742
12/08/2023 18:01,Kennett Township,PA,USA,Changing,"Object went from a triangle shaped craft in the distance to a massive craft over top of me. The craft didn’t leave, it faded away.",40.1567616,-76.2021742
12/08/2023 17:30,West Goshen Township,PA,USA,Orb,Amber light. High altitude,40.1567616,-76.2021742
12/06/2023 19:45,Red Lion,PA,USA,Light,This is the second sighting of this object in the same location. It appears as a white pulsating light,40.1567616,-76.2021742
12/05/2023 01:42,Saylorsburg,PA,USA,Circle,I woke up right before this and saw it out my window,40.1567616,-76.2021742
11/28/2023 13:43,North East,PA,USA,Orb,Seen on 95 south in northeast philly,40.1567616,-76.2021742
11/19/2023 12:15,North York,PA,USA,Triangle,Black triangle object with 5-7 dimmed lights moving in deep space,40.1567616,-76.2021742
11/14/2023 17:30,Flying Hills,PA,USA,Cross,5 objects with white lights hanging in straight line and one with 3 red lights hanging in straight line moving quickly.,40.1567616,-76.2021742
11/12/2023 18:55,Nixon,PA,USA,Disk,Driving at night and saw a green lit object drop down and zoom off,40.1567616,-76.2021742
11/11/2023 22:40,Slippery Rock,PA,USA,Triangle,Triangle shaped craft that moved like nothing I’ve ever seen.,40.1567616,-76.2021742
11/11/2023 21:36,Pittsburgh,PA,USA,Circle,a drone or what appears to be an aircraft of some sort has been hovering every night at the corner of N. Craig and baum boulevard,40.1567616,-76.2021742
11/11/2023 17:58,Polk,PA,USA,Triangle,I walked out of my garage looked up at the sky and saw a triangle of three lights two green and one white .,40.1567616,-76.2021742
11/05/2023 18:44,O'Hara Township,PA,USA,Oval,I looked up a saw a giant flash in the sky.,40.1567616,-76.2021742
11/05/2023 10:32,Mount Morris,PA,USA,Orb,"Large extremely fast moving orb moving across the sky that stopped in midair, turned, and continued in the direction",40.1567616,-76.2021742
11/03/2023 20:56,Lansdale,PA,USA,Oval,Along botm. Two rings of Rainbow LEDs.W/some sort of cloaking ability on the ship BC IT was blurry BUT the sky&lights along bttm.CLEAR,40.1567616,-76.2021742
11/02/2023 21:02,Lemoyne,PA,USA,Cigar,"Saw a fast-moving, glowing white tic-tac shape in the sky",40.1567616,-76.2021742
10/26/2023 21:25,Glen Mills,PA,USA,Orb,A glowing orb that flys straight up,40.1567616,-76.2021742
10/21/2023 20:45,York,PA,USA,Changing,What appeared to be a full moon abruptly moved across the sky from 180 * SW to 200* stayed until 10:30pm then abruptly shrunk in size,40.1567616,-76.2021742
10/14/2023 01:59,New Brighton,PA,USA,Unknown,I found this photo on my trail camera its a squence of 3 photos this is 1.My Am and Pm are reversed on my camera,40.1567616,-76.2021742
10/12/2023 06:30,Felton,PA,USA,Light,Bright blue lights with a flashing red light,40.1567616,-76.2021742
10/03/2023 19:04,Erie,PA,USA,Formation,My wife and I thought we were looking at a helicopter but it wasn’t making any noise.,40.1567616,-76.2021742
10/01/2023 01:00,Ebensburg,PA,USA,Other,"Clear night sky, two orange lights with an orange trail appeared moving very fast from west to southeast.",40.1567616,-76.2021742
09/30/2023 21:00,Gettysburg,PA,USA,Disk,blinking object seen racing around in sky,40.1567616,-76.2021742
09/29/2023 23:50,Otter creek township,PA,USA,Orb,Watch a bright orb that then just vanished like a light switch being turned off. It returned 5 minutes later and slowly faded out.,40.1567616,-76.2021742
09/19/2023 22:37,Mercersburg,PA,USA,Circle,This orange orb pops up around 10:30 to 10:40 at various nights. No correlation to what nights or triggers.,40.1567616,-76.2021742
09/11/2023 19:56,Norristown,PA,USA,Fireball,Three fireball circles moving east without any sound,40.1567616,-76.2021742
09/07/2023 09:09,Ford City,PA,USA,Unknown,Couldn’t Identify,40.1567616,-76.2021742
09/06/2023 05:28,Glenside,PA,USA,Light,Looking up at half moon I saw a dot moving East Southeast which I watched for about 15 seconds which then blinked red and disappeared,40.1567616,-76.2021742
09/04/2023 22:00,Roulette,PA,USA,Oval,I was out side looking up into the sky and I seen a object going one direction and changed directions all at once.(white),40.1567616,-76.2021742
09/04/2023 20:54,Camp Hill,PA,USA,Circle,"We observed a saucer-shaped craft ascend from the horizon to the upper atmosphere in a fraction of a second, before separating",40.1567616,-76.2021742
09/04/2023 20:40,Boswell,PA,USA,Orb,Bright orange light came out of south and stopped for minutes before heading easterly. Then a second object did much the same thing.,40.1567616,-76.2021742
09/02/2023 03:30,Milesburg,PA,USA,Disk,The disk saucer had a white glow around it. It came up from the ground and shot up into the Northern direction,40.1567616,-76.2021742
09/01/2023 20:30,Sunbury,PA,USA,Egg,I was walking down the street after my dad dropped me off at my mom's and I looked and saw a redish dot flying quickly across the sky,40.1567616,-76.2021742
09/01/2023 19:30,Drexel Hill,PA,USA,Cylinder,Saw bright objects in the sky did not look like planes slowly in a pattern,40.1567616,-76.2021742
08/31/2023 23:00,Ambridge,PA,USA,Cylinder,A silver or gray line that was very high up barely visible.,40.1567616,-76.2021742
08/30/2023 20:30,Hamburg,PA,USA,Diamond,Diamond craft sighting,40.1567616,-76.2021742
08/20/2023 22:01,Washington,PA,USA,Light,Saw a bright red light in the sky that was completely silent and still. Moves slowly and erraticly and then slowly moved away returned,40.1567616,-76.2021742
08/20/2023 21:30,Pittsburgh,PA,USA,Light,Bright light not moving in straight line which goes off then comes back on moving in different direction,40.1567616,-76.2021742
08/17/2023 22:00,Roulette,PA,USA,Sphere,"Was outside with dog, clear night. Looking up at stars and spot ufo and whatched for 20min went left without turning and then gone.",40.1567616,-76.2021742
08/16/2023 21:40,Erwinna,PA,USA,Orb,"Two orbs, one red another blue approx. 250 ft. just above tree tops.",40.1567616,-76.2021742
08/16/2023 02:20,State College,PA,USA,Circle,"I noticed a very bright light so grabbed my phone just to make it bigger to see it better, made video, object moved like a jelly fish",40.1567616,-76.2021742
08/12/2023 22:05,Assateague Island,PA,USA,Circle,"Not perfectly straight line, but a semi straight line, of light glowing objects. Came from a star, then disappeared behind another one.",40.1567616,-76.2021742
08/10/2023 23:30,Castle Shannon,PA,USA,Orb,Almost looked like a flash of lighting but most certainly was not,40.1567616,-76.2021742
08/10/2023 23:00,Gap,PA,USA,Changing,Glowing orb that grew brighter as it moved closer and turned into three lights on a large triangular chevron craft,40.1567616,-76.2021742
08/09/2023 11:15,Irwin,PA,USA,Teardrop,"My back yard, black bird shaped object, traveled east to west, high rate of speed",40.1567616,-76.2021742
08/06/2023 21:30,Carlisle,PA,USA,Orb,"Saw 3 red dots in the formation of a triangle that were slowly moving, independent of each other, then disappeared.",40.1567616,-76.2021742
08/05/2023 01:00,Vandergrift,PA,USA,Other,"I saw a large white light accompanied by four big, medium, and four small grey and blue crafts.",40.1567616,-76.2021742
08/04/2023 22:32,Mifflinburg,PA,USA,Circle,Was taking dogs out and saw a ball of light moving across the sky,40.1567616,-76.2021742
08/02/2023 22:38,Pottstown,PA,USA,Rectangle,object seem to be hovering over a house,40.1567616,-76.2021742
07/31/2023 03:29,Newtown Square,PA,USA,Sphere,Was looking at meteor shower and saw a ufo changing colors and flying in strange patterns,40.1567616,-76.2021742
07/30/2023 21:50,Trevose,PA,USA,Cigar,Sparkling lights in a cigar shape gilding throught the night sky,40.1567616,-76.2021742
07/25/2023 16:00,Yardley,PA,USA,Unknown,"There are alien bird noises played by an alien speaker in our backyard; real birds are not there, these are electronic noises.",40.1567616,-76.2021742
07/22/2023 21:30,Bellefonte,PA,USA,Triangle,"Craft was low overhead, made no noise. Made almost a right angle turn, never slowing down. 3 blinking lights",40.1567616,-76.2021742
07/21/2023 22:15,Lewisburg,PA,USA,Changing,On patrol and saw greenish light above a house,40.1567616,-76.2021742
07/20/2023 02:20,Lock Haven,PA,USA,Circle,Color lights in sky,40.1567616,-76.2021742
07/17/2023 23:35,Lancaster,PA,USA,Sphere,Bright red to orange light.,40.1567616,-76.2021742
07/15/2023 22:40,Fullerton,PA,USA,Formation,3 Reddish orbs seen hovering over east Catasaqua,40.1567616,-76.2021742
07/14/2023 23:02,Bristol,PA,USA,Light,Observed in night sky,40.1567616,-76.2021742
07/12/2023 20:00,Willow street,PA,USA,Other,Metallic chrome so shiny it looked lit two cigar shapes side by side.,40.1567616,-76.2021742
07/08/2023 09:30,coatesville,PA,USA,Light,"There was no sound, and no blinking lights. As they were heading NW they got higher and higher and went into the atmosphere.",40.1567616,-76.2021742
07/06/2023 07:50,Pottstown,PA,USA,Circle,JBU555 pilots reported fast flying object 4-5 thousand feet above,40.1567616,-76.2021742
07/04/2023 22:12,Mount Holly springs,PA,USA,Other,"My fiance was at her mother's house ,she noticed this in the night sky it was not the moon .",40.1567616,-76.2021742
07/02/2023 21:45,Elizabethtown,PA,USA,Light,A short creature with big black shiny eyes ran from my shed back behind my car and then green lights flashed and it was gone.,40.1567616,-76.2021742
07/02/2023 21:35,Vandergrift,PA,USA,Orb,I took a video of it,40.1567616,-76.2021742
07/02/2023 19:05,Montgomeryville,PA,USA,Sphere,"Pre-tornado: One with a trail far away, one floating much closer",40.1567616,-76.2021742
06/20/2023 03:08,Berwick,PA,USA,Orb,Cloudy no stars visible very humid i saw a decending green silent orb go streaking past my window with a green short tail not on fire,40.1567616,-76.2021742
06/17/2023 22:40,DuBois,PA,USA,Chevron,"A translucent or black ""boomerang"" or ""flying v"" shaped craft moved rapidly away from a fireworks display.",40.1567616,-76.2021742
06/12/2023 22:42,Grantville,PA,USA,Light,horizontal row of about 10 white lights appeared to grow larger as it moved closer towards me and smaller as it moved away,40.1567616,-76.2021742
06/12/2023 18:00,chester springs,PA,USA,Disk,object floating in sky for around an hour,40.1567616,-76.2021742
06/03/2023 23:30,Dresher,PA,USA,Chevron,Object was hovering high then sped off at a very high speed.,40.1567616,-76.2021742
05/27/2023 22:17,Snow Shoe,PA,USA,Light,"We watched a very bright orange round light come seemingly out of nowhere then came overtop of us, no sound.",40.1567616,-76.2021742
05/25/2023 21:40,Bloomsburg,PA,USA,Orb,No noise no flashing lights very bright disappears,40.1567616,-76.2021742
05/25/2023 21:09,Tower City,PA,USA,Cigar,It was fast,40.1567616,-76.2021742
